"2017-06-26","330682000001109","299716D5B2854556B927DAA38F9C688E","虞环罚字（2016）134号","上虞区环境保护局","绍兴上虞育才风机制造有限公司","绍兴市上虞区","2016-06-07","正常","梁文锋","绍兴上虞育才风机制造有限公司建设项目未经环评报批擅自开工建设并投入生产案","违反建设项目环境影响评价制度的处罚"
"2017-06-26","330682000001289","980CDD6811414FA6B6841767457ED666","虞环罚字（2017）85号","上虞区环境保护局","浙江鸿亮特种伞有限公司","绍兴市上虞区","2017-05-16","正常","姚建灿","浙江鸿亮特种伞有限公司采取规避监管的方式排放水污染物案","违法设置排污口或私设暗管的处罚"
"2017-06-26","330682000001377","C9319AC4D0824383BC7ED5CC99689057","虞行执罚决字[2015]第076号","绍兴市上虞区城市管理行政执法局","浙江世邦置业有限公司","上虞区","2015-06-18","已结案","傅剑晖　　 ","浙江世邦置业有限公司擅自设置大型户外广告案","户外广告设施以及非广告的招牌、电子显示牌、灯箱、画廊、条幅、旗帜、充气装置、实物造型等户外设施未按依法批准要求设置的处罚"
"2017-06-26","330682000001623","21D75CDF11A7471FA5154F3226F1F558","虞环罚字（2016）183号","上虞区环境保护局","上虞市银佳铜业有限公司","绍兴市上虞区","2016-07-05","正常","郑亚仙","上虞市银佳铜业有限公司建设项目未经环评报批擅自开工建设并投产案","违反建设项目环境影响评价制度的处罚"
"2017-06-26","330682000001658","330682022016120004","绍虞市监案字〔2016〕154号","上虞区市场监督管理局","绍兴市白马湖食品有限公司","","2016-07-18","1","陈利华","绍兴市白马湖食品有限公司不正当竞争案","绍兴市白马湖食品有限公司不正当竞争案"
"2017-06-26","330682000001682","BDAD231D09684F939332B4198F88B0C8","（虞）文罚字〔2015〕第10号","绍兴市上虞区文化市场行政执法大队","上虞月亮湾网吧","上虞区","2015-06-03","正常","崔奇少","网吧接纳未成年人进入营业场所和未按规定核对、登记上网消费者的有效身份证件案","网吧接纳未成年人进入营业场所和未按规定核对、登记上网消费者的有效身份证件案"
"2017-06-26","330682000001682","A259462D9A6A4AD69DFA275B5DE221E4","（虞）文罚字〔2015〕第7号","绍兴市上虞区文化市场行政执法大队","上虞月亮湾网吧 ","上虞区","2015-04-28","正常","崔奇少","接纳未成年人进入营业场所案","接纳未成年人进入营业场所案"
"2017-06-26","330682000001682","330682142015120021","绍虞工商案字〔2015〕10号","上虞区市场监督管理局","上虞月亮湾网吧","","2015-01-15","1","崔奇少","上虞月亮湾网吧食品药品违法行为案","上虞月亮湾网吧食品药品违法行为案"
"2017-06-26","330682000001682","5108","绍虞工商案立字【2015】10号","市场监督管理局","上虞月亮湾网吧","绍兴市上虞区","2015-01-15","","","无照经营预包装食品及卷烟",""
"2017-06-26","330682000001682","EC037947D43C40949B0EA188B24D0167","（虞）文当罚字〔2016〕第10号","绍兴市上虞区文化广电新闻出版局","上虞月亮湾网吧","上虞区","2016-12-01","正常","崔奇少","擅自停止实施经营管理技术措施案","擅自停止实施经营管理技术措施案"
"2017-06-26","330682000001971","5F60DC480482481799029F5E5EBC2858","虞安监管罚字〔2014〕第08号","","浙江格洛斯无缝钢管有限公司","","2014-02-17","","马夏康","格洛斯公司“11·16”事故行政处罚案",""
"2017-06-26","330682000002136","330682042015120017","虞驿监督案〔2015〕11号","上虞区驿亭所","绍兴市上虞区驿亭镇布咔网吧","","2015-07-31","1","汤亚军","绍兴市上虞区驿亭镇布咔网吧食品药品违法行为案","绍兴市上虞区驿亭镇布咔网吧食品药品违法行为案"
"2017-06-26","330682000002618","4F85849C3ADF41C7BD2AA21C1150C52F","虞农(种子)罚〔2015〕16号","绍兴市上虞区农林渔牧局","绍兴市舜达种业有限公司","","2015-12-14","","陶才生","经营劣种子案","经营劣种子案"
