"2017-06-22","上虞市民生灯具有限公司","330682000047228","3306820000082710","5CB2C8D482B0C02F9857C421436C1731B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区天佳塑钢门窗有限公司","330682000047236","3306823000000951","E28F42B27C86779262E006FAE35C2096B08685D23A98ADDAD07DF06B5581D85C","91330604712579540F"
"2017-06-22","上虞市天锐广告传媒有限公司","330682000047244","3306820000116815","7D1EECFFD1048902E814428C347FBFF5B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴伟邦矿机制造有限公司","330682000047252","3306820000098666","E6066474A77C70250DE985BF3B4973E5B08685D23A98ADDAD07DF06B5581D85C","9133060478565250XN"
"2017-06-22","上虞市农业机械有限公司","330682000047269","3306821000000405","F136FB9EB566C640843AB854B81A599EB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞元迪贸易有限公司","330682000047277","3306820000116818","9A8C694D8722EE90DC9F2F9BDC915E66B08685D23A98ADDAD07DF06B5581D85C","9133060468913880X4"
"2017-06-22","上虞市特灵精机工业有限公司","330682000047285","3306820000091260","BC8C7FF24BC02C101CA07DDBD6FAC58BB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞舜玉生态农业开发有限公司","330682000047293","3306820000116825","040F848397BC699FF68863EC2C989B35B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市森宇合成材料厂","330682000047308","3306820000081219","212723E04FFE9437C191F38023BD7E58B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市小越龙峰轮窑厂","330682000047316","3306824000001912","D8AC7C2CB9E1548FFE243333D6193B29B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市双江建筑材料有限公司","330682000047324","3306820000116824","3A8ED4EA1B13A5B0934030EEAA0BA083B08685D23A98ADDAD07DF06B5581D85C","91330604689139407G"
"2017-06-22","上虞市小越镇农业综合经营部","330682000047332","3306820000067415","3D41972CA3D15F51D3E7E15CE7B1A233B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市大富豪娱乐有限公司","330682000047349","3306820000116826","B0232D80B62B07CD83785098C36615D9B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞三禾风机有限公司","330682000047357","3306820000116842","E64C958A36008EED6572E8DF9C315C74B08685D23A98ADDAD07DF06B5581D85C","91330604689139634M"
"2017-06-22","绍兴市上虞诚军化工设备有限公司","330682000047365","3306820000116845","927E1248EBFF6A751642988FC1AAD616B08685D23A98ADDAD07DF06B5581D85C","913306046891456128"
"2017-06-22","绍兴市上虞区新建冷冻厂","330682000047373","3306824000002344","6AF531AD9E7D933687FC973C21695AF1B08685D23A98ADDAD07DF06B5581D85C","913306041461331210"
"2017-06-22","浙江百官机电设备有限公司","330682000047381","3306821000000421","7C0590D93E2EF3BFAB2E18054E2F8C19B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市赏宇建材有限公司","330682000047390","3306820000116858","303B3885F4C15C695A7A6F79677BCEE6B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞保明冷却设备有限公司","330682000047404","3306823000000263","87AEE3C0C4EF44BF5F1A4D6C562675E7B08685D23A98ADDAD07DF06B5581D85C","91330604712580162P"
"2017-06-22","浙江佑谦特种材料有限公司","330682000047412","3306820000069914","9409F42D8A5A62F22974CD53554B8ADEB08685D23A98ADDAD07DF06B5581D85C","913306047315075937"
"2017-06-22","绍兴市上虞旭日照明电器有限公司","330682000047437","3306820000081070","49F5A8CA8A78B6EF8D158461A8AADCCAB08685D23A98ADDAD07DF06B5581D85C","91330604736854957X"
"2017-06-22","上虞越利针织有限公司","330682000047445","3306820000105506","0FCEEDB9D4E13473A6C93EC0C0D8CA05B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区世海塑料厂","330682000047453","3306820000116878","F799FFF21AB6F91D74477606A3FF4CF4B08685D23A98ADDAD07DF06B5581D85C","9133060468914533XW"
"2017-06-22","绍兴市上虞永和方益轴承厂","330682000047461","3306820000116879","1ED99E911E74ECA20D70CF94A4DA6BD1B08685D23A98ADDAD07DF06B5581D85C","9133060468995054XH"
"2017-06-22","绍兴市上虞区崧厦镇明达伞厂","330682000047470","3306820000095287","52FE508CCD1C3B60A49547ECEB37D8D2B08685D23A98ADDAD07DF06B5581D85C","91330604736885462H"
"2017-06-22","上虞市友顺贸易有限公司","330682000047488","3306820000116764","57275AF9713FECD3888EE928E8293E44B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市东盛环保设备有限公司","330682000047496","3306820000105155","0010EA1242D4CDF3B6A4DA55451E1FDCB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区建兴冲压制造有限公司","330682000047507","3306820000084351","BF4541B9D20F75F77579CDE7C08707E6B08685D23A98ADDAD07DF06B5581D85C","913306047498328105"
"2017-06-22","绍兴市上虞中信塑料厂","330682000047515","3306820000055964","19F9DA505DDE35E1C33B51850CBE1A3CB08685D23A98ADDAD07DF06B5581D85C","91330604721006840K"
"2017-06-22","上虞市崧厦百鸟水产经营部","330682000047523","3306820000091458","C0C860A3BD82147C5DD2B65390E07327B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴多哈茶叶有限公司","330682000047531","3306820000080829","9DB3A25189AEDA199D2F64EA5F8346D8B08685D23A98ADDAD07DF06B5581D85C","913306047360112984"
"2017-06-22","绍兴市上虞丁豪一派服饰有限公司","330682000047540","3306820000116860","8130B96ED660CE3B3CE56BC228341131B08685D23A98ADDAD07DF06B5581D85C","91330604689143975A"
"2017-06-22","上虞市农业生产资料有限责任公司韩浜农资供应站","330682000047558","3306820000116920","C1E730FC694F241112F98BF121A7CC4FB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞华新置业有限公司","330682000047566","3306820000101213","8A154B517FCBFB9D0A259C90DE42FD8BB08685D23A98ADDAD07DF06B5581D85C","9133060478969458X5"
"2017-06-22","上虞市新林铜材厂","330682000047574","3306820000087635","7B17534CC36527EE4C6AD735932571E3B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞永杰机电设备厂","330682000047582","3306820000087644","DFE5A54F694384726AC1342AAAC67140B08685D23A98ADDAD07DF06B5581D85C","913306047580904256"
"2017-06-22","绍兴市上虞精德机械有限公司","330682000047599","3306820000088729","092DE204F6437D8C0F6877E7B60369F5B08685D23A98ADDAD07DF06B5581D85C","91330604760152154P"
"2017-06-22","绍兴市上虞区浦发金属材料厂","330682000047603","3306824000001388","491B1DABB14F0FF67CBC861548E084DEB08685D23A98ADDAD07DF06B5581D85C","91330604609676553L"
"2017-06-22","浙江科诚暖通设备有限公司","330682000047611","3306820000116864","0B94386BA8EF4B2B5EB5CAFA9B849300B08685D23A98ADDAD07DF06B5581D85C","91330604689145778N"
"2017-06-22","上虞市舜联服饰有限公司","330682000047620","3306820000116941","1729B43FC7AA5B06FB9428B38BC3B30EB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市凯达制衣厂","330682000047638","3306820000088187","4561DC9854C56EAF593F4BD4061D7119B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞宏兴金属拉丝厂","330682000047646","3306820000094615","5CAFCA6A8AFC037C7339AA0679E9FAC2B08685D23A98ADDAD07DF06B5581D85C","9133060477437353XG"
"2017-06-22","绍兴上虞曹娥街道建设开发有限公司","330682000047654","3306820000116938","940528198C53B3A0B289D50219F91EC6B08685D23A98ADDAD07DF06B5581D85C","91330604689950427M"
"2017-06-22","绍兴上虞正达管业有限公司","330682000047662","3306820000103380","7A02F5DCBC531C457E2EE76F203A107FB08685D23A98ADDAD07DF06B5581D85C","91330604795596820B"
"2017-06-22","绍兴市上虞金木笨丫贸易有限公司","330682000047679","3306820000116979","47999A7E3D192C001602A799FE89AD2BB08685D23A98ADDAD07DF06B5581D85C","9133060468995468X8"
"2017-06-22","浙江中工塑胶有限公司","330682000047695","3306823000000596","4621859FAFD9873D5C10F7704F5CE5D1B08685D23A98ADDAD07DF06B5581D85C","91330604146180390G"
"2017-06-22","上虞市丰惠惠南照相器材厂","330682000047700","3306824000001952","22E352109568F1436309D609F2413B33B08685D23A98ADDAD07DF06B5581D85C",""
