INFO: 2017-06-22 10:12:14,191  330682000017082 : OrderedDict([('corpid', '9D20E5E34E7F2D18019C380F1A3A26D0B08685D23A98ADDAD07DF06B5581D85C'), ('name', '中国电信股份有限公司上虞上浦营业厅'), ('regno', '330682000017082'), ('nocorpid', '3306820000087208'), ('entUnscId', '91330604757083258Y')])
INFO: 2017-06-22 10:12:33,227  330682000017099 : OrderedDict([('name', '中国电信股份有限公司上虞章镇营业厅'), ('regno', '330682000017099'), ('nocorpid', '3306820000087050'), ('entUnscId', '91330604757083290A'), ('corpid', 'AF9F7EF27EAA2C0821F81EA93D1E699EB08685D23A98ADDAD07DF06B5581D85C')])
INFO: 2017-06-22 10:12:38,436  330682000017103 : OrderedDict([('name', '中国电信股份有限公司上虞道墟营业厅'), ('regno', '330682000017103'), ('nocorpid', '3306820000086841'), ('entUnscId', '91330604757083274L'), ('corpid', '28D356D9CC9AD95B5F536259B33E67EBB08685D23A98ADDAD07DF06B5581D85C')])
INFO: 2017-06-22 10:12:47,854  330682000017111 : OrderedDict([('name', '中国电信股份有限公司上虞丰惠营业厅'), ('regno', '330682000017111'), ('nocorpid', '3306820000086803'), ('entUnscId', '91330604757083223C'), ('corpid', 'A00EFB492F7BB5FD1E7ADFAB9A82935BB08685D23A98ADDAD07DF06B5581D85C')])
INFO: 2017-06-22 10:12:58,795  330682000017120 : OrderedDict([('name', '中国电信股份有限公司上虞下管营业厅'), ('regno', '330682000017120'), ('nocorpid', '3306820000086805'), ('entUnscId', '9133060475708324XY'), ('corpid', '5175E7C832B299DC6AA8042FDC318912B08685D23A98ADDAD07DF06B5581D85C')])
INFO: 2017-06-22 10:13:19,432  330682000017138 : OrderedDict([('name', '中国电信股份有限公司上虞竹山桥营业厅'), ('regno', '330682000017138'), ('nocorpid', '3306820000086732'), ('entUnscId', '91330604757083311T'), ('corpid', 'BFE4D775BAB02026CD090E8A011272F6B08685D23A98ADDAD07DF06B5581D85C')])
INFO: 2017-06-22 10:13:29,827  330682000017146 : OrderedDict([('name', '中国电信股份有限公司上虞小越营业厅'), ('regno', '330682000017146'), ('nocorpid', '3306820000086793'), ('entUnscId', '91330604757083346D'), ('corpid', 'C614B899F57516C3E6C46B583A545AF9B08685D23A98ADDAD07DF06B5581D85C')])
INFO: 2017-06-22 10:13:39,348  330682000017154 : OrderedDict([('name', '中国电信股份有限公司上虞综合营业厅'), ('regno', '330682000017154'), ('nocorpid', '3306820000086728'), ('entUnscId', '91330604757083266R'), ('corpid', '80EFEDF409DFC6EC96838D539412589CB08685D23A98ADDAD07DF06B5581D85C')])
INFO: 2017-06-22 10:13:48,913  330682000017162 : OrderedDict([('name', '上虞市远洋船用三防布有限公司'), ('regno', '330682000017162'), ('nocorpid', '3306820000109408'), ('entUnscId', None), ('corpid', '573A31AD97834EEC86C0354FC3E2956DB08685D23A98ADDAD07DF06B5581D85C')])
INFO: 2017-06-22 10:14:08,959  330682000017179 : OrderedDict([('name', '上虞市丰惠镇伟业针织厂'), ('regno', '330682000017179'), ('nocorpid', '3306820000109409'), ('corpid', 'CB843C5C486A40829500C3EC87675296B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 10:14:18,577  330682000017187 : OrderedDict([('name', '上虞市龙浩装饰工程有限公司'), ('regno', '330682000017187'), ('nocorpid', '3306820000109411'), ('corpid', '6B6A82F7EA476A9E7525F69139B34C98B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 10:14:28,222  330682000017195 : OrderedDict([('name', '上虞市吉鑫铜铝有限公司'), ('regno', '330682000017195'), ('nocorpid', '3306820000098911'), ('corpid', 'EC8055B1E8DC37C2B66EA2F95B32256AB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 10:14:34,909  330682000017200 : OrderedDict([('name', '上虞市九红婚礼服有限公司'), ('regno', '330682000017200'), ('nocorpid', '3306820000109416'), ('corpid', '03853611B5E9F2899B63D609705C491CB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
