INFO: 2017-06-21 17:16:59,609  330682000000034 : [{'regloc': '绍兴市上虞区经济开发区越秀路476号', 'legrep': '王华', 'regno': '330682000000034', 'corpid': 'CA2C344C6DA715279BFB5B7D01653814B08685D23A98ADDAD07DF06B5581D85C', 'name': '绍兴市上虞区曹娥街道博客园网吧', 'estdate': '2003-06-25'}]
INFO: 2017-06-21 17:17:01,747  330682000000035 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
INFO: 2017-06-21 17:17:02,801  330682000000036 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
INFO: 2017-06-21 17:17:03,859  330682000000037 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
INFO: 2017-06-21 17:17:04,915  330682000000038 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
INFO: 2017-06-21 17:17:05,970  330682000000039 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
INFO: 2017-06-21 17:17:07,026  330682000000040 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
INFO: 2017-06-21 17:17:08,082  330682000000041 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
INFO: 2017-06-21 17:17:09,136  330682000000042 : [{'regloc': '上虞市百官街道江扬路31-35号', 'legrep': '钟银兔', 'regno': '330682000000042', 'corpid': 'AA25E4BD5F976D55D96B043780919A42B08685D23A98ADDAD07DF06B5581D85C', 'name': '上虞市金铭投资咨询有限公司', 'estdate': '2007-07-02'}]
INFO: 2017-06-21 17:17:11,175  330682000000043 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
INFO: 2017-06-21 17:17:12,234  330682000000044 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
INFO: 2017-06-21 17:17:13,286  330682000000045 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
INFO: 2017-06-21 17:17:14,338  330682000000046 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
INFO: 2017-06-21 17:17:15,395  330682000000047 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
INFO: 2017-06-21 17:17:16,454  330682000000048 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
INFO: 2017-06-21 17:17:17,512  330682000000049 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
INFO: 2017-06-21 17:17:18,565  330682000000050 : [{'regloc': None, 'legrep': None, 'regno': None, 'corpid': '-1', 'name': '无匹配企业', 'estdate': None}]
